DX_CLASS,ICD9_CD_NODOT,ICD9_CD,ICD10_CD_NODOT,ICD10_CD,ICD9_LDESC,ICD10_LDESC,LIST,sort
Anxiety Disorder,30000,300,F419,F41.9,"Anxiety state, unspecified","Anxiety disorder, unspecified",9,0
Anxiety Disorder,30001,300.01,F410,F41.0,Panic disorder without agoraphobia,Panic disorder [episodic paroxysmal anxiety] without agoraphobia,9,0
Anxiety Disorder,30002,300.02,F411,F41.1,Generalized anxiety disorder,Generalized anxiety disorder,9,0
Anxiety Disorder,30009,300.09,F413,F41.3,Other anxiety states,Other mixed anxiety disorders,10,0
Anxiety Disorder,30009,300.09,F418,F41.8,Other anxiety states,Other specified anxiety disorders,9,0
Anxiety Disorder,30020,300.2,F409,F40.9,"Phobia, unspecified","Phobic anxiety disorder, unspecified",9,0
Anxiety Disorder,30021,300.21,F4001,F40.01,Agoraphobia with panic disorder,Agoraphobia with panic disorder,9,0
Anxiety Disorder,30022,300.22,F4000,F40.00,Agoraphobia without mention of panic attacks,"Agoraphobia, unspecified",10,0
Anxiety Disorder,30022,300.22,F4002,F40.02,Agoraphobia without mention of panic attacks,Agoraphobia without panic disorder,9,0
Anxiety Disorder,30023,300.23,F4010,F40.10,Social phobia,"Social phobia, unspecified",9,0
Anxiety Disorder,30023,300.23,F4011,F40.11,Social phobia,"Social phobia, generalized",10,0
Anxiety Disorder,30029,300.29,F40210,F40.210,Other isolated or specific phobias,Arachnophobia,10,0
Anxiety Disorder,30029,300.29,F40218,F40.218,Other isolated or specific phobias,Other animal type phobia,9,0
Anxiety Disorder,30029,300.29,F40220,F40.220,Other isolated or specific phobias,Fear of thunderstorms,10,0
Anxiety Disorder,30029,300.29,F40228,F40.228,Other isolated or specific phobias,Other natural environment type phobia,10,0
Anxiety Disorder,30029,300.29,F40230,F40.230,Other isolated or specific phobias,Fear of blood,10,0
Anxiety Disorder,30029,300.29,F40231,F40.231,Other isolated or specific phobias,Fear of injections and transfusions,10,0
Anxiety Disorder,30029,300.29,F40232,F40.232,Other isolated or specific phobias,Fear of other medical care,10,0
Anxiety Disorder,30029,300.29,F40233,F40.233,Other isolated or specific phobias,Fear of injury,10,0
Anxiety Disorder,30029,300.29,F40240,F40.240,Other isolated or specific phobias,Claustrophobia,9,0
Anxiety Disorder,30029,300.29,F40241,F40.241,Other isolated or specific phobias,Acrophobia,9,0
Anxiety Disorder,30029,300.29,F40242,F40.242,Other isolated or specific phobias,Fear of bridges,10,0
Anxiety Disorder,30029,300.29,F40243,F40.243,Other isolated or specific phobias,Fear of flying,10,0
Anxiety Disorder,30029,300.29,F40248,F40.248,Other isolated or specific phobias,Other situational type phobia,10,0
Anxiety Disorder,30029,300.29,F40290,F40.290,Other isolated or specific phobias,Androphobia,10,0
Anxiety Disorder,30029,300.29,F40291,F40.291,Other isolated or specific phobias,Gynephobia,10,0
Anxiety Disorder,30029,300.29,F40298,F40.298,Other isolated or specific phobias,Other specified phobia,10,0
Anxiety Disorder,30029,300.29,F408,F40.8,Other isolated or specific phobias,Other phobic anxiety disorders,9,0
Anxiety Disorder,30921,309.21,F930,F93.0,Separation anxiety disorder,Separation anxiety disorder of childhood,9,0
Anxiety Disorder,30924,309.24,F4322,F43.22,Adjustment disorder with anxiety,Adjustment disorder with anxiety,9,0
Anxiety Disorder,30981,309.81,F4310,F43.10,Posttraumatic stress disorder,"Post-traumatic stress disorder, unspecified",9,0
